odil_folio_filename,alhoma_manuscript_id,title,folio,alhoma_folio_id,odil_folio_id,conservation_institution,manuscript_call-number,manuscript_iiif_manifest_urls
ahloma_030586212036506124_b92101.jpg,ms_030586212036506124,Recueil / Tabulae astronomicae cum imaginibus costellationum 1 48 et figuris stellarum in eisdem apparentium,40R,URB_16078,ahloma_030586212036506124_b92101,Vatican. Biblioteca apostolica vaticana,URB. LAT. 1399,blank
ahloma_030586212036506124_dc6915.jpg,ms_030586212036506124,Recueil / Tabulae astronomicae cum imaginibus costellationum 1 48 et figuris stellarum in eisdem apparentium,40V,URB_16081,ahloma_030586212036506124_dc6915,Vatican. Biblioteca apostolica vaticana,URB. LAT. 1399,blank
ahloma_009589447011445469_d6479b.jpg,ms_009589447011445469,Recueil / Tacuinum sanitatis Albucasis,40R,REG_11447,ahloma_009589447011445469_d6479b,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1305,blank
ahloma_008034797009589919_1cd38b.jpg,ms_008034797009589919,Recueil / Testament Jean de Meung,1R,REG_03863,ahloma_008034797009589919_1cd38b,Vatican. Biblioteca apostolica vaticana,REG. LAT. 367,blank
ahloma_008034797009589919_148fd7.jpg,ms_008034797009589919,Recueil / Testament Jean de Meung,28V,REG_03865,ahloma_008034797009589919_148fd7,Vatican. Biblioteca apostolica vaticana,REG. LAT. 367,blank
ahloma_006830726008152802_20ce53.jpg,ms_006830726008152802,Recueil / Thebais statius,43R,REG_12786,ahloma_006830726008152802_20ce53,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1375,https://digi.vatlib.it/iiif/MSS_Reg.lat.1375/manifest.json
ahloma_006830726008152802_70eb12.jpg,ms_006830726008152802,Recueil / Thebais statius,86V,REG_12788,ahloma_006830726008152802_70eb12,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1375,https://digi.vatlib.it/iiif/MSS_Reg.lat.1375/manifest.json
ahloma_007817394009330438_1ba11a.jpg,ms_007817394009330438,Recueil / Thema stirtis humanae,98V,REG_07305,ahloma_007817394009330438_1ba11a,Vatican. Biblioteca apostolica vaticana,REG. LAT. 755,blank
ahloma_009348949011158423_784c7d.jpg,ms_009348949011158423,Recueil / Timaeus trad. Calcidius Plato,15R,REG_14602,ahloma_009348949011158423_784c7d,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1572,blank
ahloma_009348949011158423_c34b12.jpg,ms_009348949011158423,Recueil / Timaeus trad. Calcidius Plato,15V,REG_14604,ahloma_009348949011158423_c34b12,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1572,blank
ahloma_009348949011158423_6ea81d.jpg,ms_009348949011158423,Recueil / Timaeus trad. Calcidius Plato,27R,REG_14606,ahloma_009348949011158423_6ea81d,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1572,blank
ahloma_007184808008575416_b170be.jpg,ms_007184808008575416,Recueil / Titre du manuscrit,IIV,URB_13566,ahloma_007184808008575416_b170be,Vatican. Biblioteca apostolica vaticana,URB. LAT. 664,blank
ahloma_006380048007614896_41a47f.jpg,ms_006380048007614896,Recueil / Topica Cicero,22V,REG_12890,ahloma_006380048007614896_41a47f,Vatican. Biblioteca apostolica vaticana,REG. LAT. 1405,https://digi.vatlib.it/iiif/MSS_Urb.lat.328/manifest.json
ahloma_006309306007530462_96cfe8.jpg,ms_006309306007530462,Recueil / Topica Cicero,1R,URB_09172,ahloma_006309306007530462_96cfe8,Vatican. Biblioteca apostolica vaticana,URB. LAT. 328,https://digi.vatlib.it/iiif/MSS_Urb.lat.328/manifest.json
ahloma_006309306007530462_df875d.jpg,ms_006309306007530462,Recueil / Topica Cicero,9R,URB_09174,ahloma_006309306007530462_df875d,Vatican. Biblioteca apostolica vaticana,URB. LAT. 328,https://digi.vatlib.it/iiif/MSS_Urb.lat.328/manifest.json
ahloma_010917208013030216_ad3ace.jpg,ms_010917208013030216,Recueil / Topica transl. lat. Boece Aristoteles,53R,VAT_25888,ahloma_010917208013030216_ad3ace,Vatican. Biblioteca apostolica vaticana,VAT. LAT. 2113,https://digi.vatlib.it/iiif/MSS_Vat.lat.2115/manifest.json
