odil_folio_id,alhoma_manuscript_id,title,folio,manifest_urls,n_canvases_indexed,target_in_manifest,rank,candidate_service_id,candidate_canvas_label,score,matches,inliers,inlier_ratio,bbox,status,error
ahloma_010232821012213367_d3e569,ms_010232821012213367,Chronique des Francs / Table chronologique,1R,https://digi.vatlib.it/iiif/MSS_Reg.lat.610/manifest.json,15,True,1,https://digi.vatlib.it/iiifimage/MSS_Reg.lat.610/Reg.lat.610_0005_fa_0001r.jp2,1r,0.9445,551,500,0.9074,"(-127, 22, 777, 692)",ok,
ahloma_010232821012213367_d3e569,ms_010232821012213367,Chronique des Francs / Table chronologique,1R,https://digi.vatlib.it/iiif/MSS_Reg.lat.610/manifest.json,15,True,2,https://digi.vatlib.it/iiifimage/MSS_Reg.lat.610/Reg.lat.610_0004_cr_0001v.jp2,Iv,0.7462,52,30,0.5769,"(488, 31, 1418, 698)",ok,
ahloma_010232821012213367_d3e569,ms_010232821012213367,Chronique des Francs / Table chronologique,1R,https://digi.vatlib.it/iiif/MSS_Reg.lat.610/manifest.json,15,True,3,https://digi.vatlib.it/iiifimage/MSS_Reg.lat.610/Reg.lat.610_0003_cr_0001r.jp2,Ir,0.224,25,6,0.24,,ok,
